CEP;Rua;Bairro;Cidade;Latitude;Longitude
13474-411; Rua Lima Barreto; Antônio Zanaga II; Americana/SP;-22.704133;-47.2928374,17
13474-445; Rua Lúcio Cardoso; Antônio Zanaga II; Americana/SP;-22.7062704;-47.3023164,17
13474-424; Rua Mário de Andrade; Antônio Zanaga II; Americana/SP;-22.7027369;-47.289719,18
13474-400; Rua Men de Sá; Antônio Zanaga II; Americana/SP;-22.7062523;-47.2938736,16
13474-405; Rua Noel Rosa; Antônio Zanaga II; Americana/SP;-22.7042029;-47.2944224,17
13474-415; Rua Pedro Gentile; Antônio Zanaga II; Americana/SP;-22.704715;-47.2917074,17
13474-403; Rua Raul de Leoni; Antônio Zanaga II; Americana/SP;-22.7050529;-47.2937423,17
13474-421; Rua Rodrigues de Abreu; Antônio Zanaga II; Americana/SP;-22.7042496;-47.2912984,17
13474-446; Rua Solano Trindade; Antônio Zanaga II; Americana/SP;-22.7067232;-47.3019305,17
13474-410; Rua Valdomiro Silveira; Antônio Zanaga II; Americana/SP;-22.7039507;-47.2923255,17
13479-899; Área Rural; Área Rural de Americana; Americana/SP;-22.755954;-47.3184499,15
13479-700; Passagem A; Bairro da Lagoa; Americana/SP;-22.7629731;-47.265645,17
13479-701; Passagem B; Bairro da Lagoa; Americana/SP;-22.7620782;-47.2628686,17
13479-702; Passagem C; Bairro da Lagoa; Americana/SP;-22.7633621;-47.2645448,17
13479-703; Passagem D; Bairro da Lagoa; Americana/SP;-22.7629689;-47.2625256,18
13479-704; Passagem E; Bairro da Lagoa; Americana/SP;-22.7622629;-47.2619715,18
13479-705; Passagem F; Bairro da Lagoa; Americana/SP;-22.7613671;-47.2613044,18
13479-706; Passagem G; Bairro da Lagoa; Americana/SP;-22.7613313;-47.2683723,15
13479-300; Rodovia Luiz de Queiroz; Bairro da Lagoa; Americana/SP;-22.7564375;-47.3366586,13
13476-796; Rua Alexandre Georgette; Balneário Riviera; Americana/SP;-22.7388879;-47.2378309,17
13476-790; Rua Bernardino Rubbo; Balneário Riviera; Americana/SP;-22.7409272;-47.2393941,17
13476-770; Rua Carlos Alberto Brassorotto; Balneário Riviera; Americana/SP;-22.7409272;-47.2413587,16
13476-750; Rua Ferdinando Pinese; Balneário Riviera; Americana/SP;-22.738888;-47.240141,17
13476-794; Rua Francisco Facão; Balneário Riviera; Americana/SP;-22.7398875;-47.2374284,17
13476-791; Rua João Rossi; Balneário Riviera; Americana/SP;-22.739638;-47.2397809,17
13476-801; Rua José Naccarato; Balneário Riviera; Americana/SP;-22.7401224;-47.2363425,17
13476-760; Rua Luiz Corsi; Balneário Riviera; Americana/SP;-22.7400621;-47.2380455,17
13476-795; Rua Luiz Trevizolli; Balneário Riviera; Americana/SP;-22.7393305;-47.238223,17
13476-755; Rua Maranhão; Balneário Riviera; Americana/SP;-22.7393305;
13476-800; Rua Quinto Ferramola; Balneário Riviera; Americana/SP;-22.7393801;-47.2374743,17
13476-792; Rua Valdemar Nogueira; Balneário Riviera; Americana/SP;-22.7255125;-47.3058146,15
13476-780; Rua Vicente Sarra; Balneário Riviera; Americana/SP;-22.7401135;-47.23683,17
13476-730; Avenida São Paulo; Balneário Salto Grande; Americana/SP;-22.7333354;-47.2393271,18
13476-739; Praça Antônio Piva; Balneário Salto Grande; Americana/SP;-22.7341361;-47.2400043,17
13476-734; Rua Arcoverde; Balneário Salto Grande; Americana/SP;-22.735138;-47.2399376,18
13476-733; Rua Bahia; Balneário Salto Grande; Americana/SP;-22.7343676;-47.2419204,17
13476-731; Rua Bandeirantes; Balneário Salto Grande; Americana/SP;-22.733738;-47.2393273,18
13476-732; Rua Brasil; Balneário Salto Grande; Americana/SP;-22.7339426;-47.2392211,18
13476-735; Rua Maranhão; Balneário Salto Grande; Americana/SP;-22.749757;-47.2530259,17
13475-082; Avenida Comendador Thomaz Fortunato; Barroca; Americana/SP;-22.7301536;-47.3021594,13
13475-080; Avenida Olímpica Lionello Ravera; Barroca; Americana/SP;-22.7301536;
13478-830; Avenida Angelina Pascote; Bom Recreio; Americana/SP;-22.7409601;-47.3271014,15
13478-519; Praça Antônio Marino; Bosque da Saúde; Americana/SP;-22.7442714;-47.3108524,17
13478-499; Praça da Imigração Japonesa; Bosque da Saúde; Americana/SP;-22.7450755;-47.3132973,17
13478-490; Rua Alfredo Bediks; Bosque da Saúde; Americana/SP;-22.743823;-47.3134354,17
13478-510; Rua Antônio Gonzalez Vazquez; Bosque da Saúde; Americana/SP;-22.7436649;-47.3115834,17
13478-500; Rua Lázara Castelo B. Galante; Bosque da Saúde; Americana/SP;-22.7446475;-47.3121814,17
13478-505; Rua Maria Regina Delben Astorri; Bosque da Saúde; Americana/SP;-22.74411;-47.3127469,17
13475-712; Rua Armando Dadona; Bosque dos Ipês; Americana/SP;-22.74411;
13475-714; Rua Arnaldo Duarte; Bosque dos Ipês; Americana/SP;-22.7070307;-47.2784043,18
13475-702; Rua Cacilda Franco de Arruda Guelli; Bosque dos Ipês; Americana/SP;-22.7307901;-47.2669988,16
13475-710; Rua Cinco; Bosque dos Ipês; Americana/SP;-22.7307901;
13475-703; Rua Fátima Cristina Pinhanelli Ribeiro; Bosque dos Ipês; Americana/SP;-22.7342999;-47.2644902,17
13475-705; Rua Franz Hetzl; Bosque dos Ipês; Americana/SP;-22.732411;-47.2656923,17
13475-701; Rua João Miguel Homsi; Bosque dos Ipês; Americana/SP;-22.732411;
13475-704; Rua João Salvador; Bosque dos Ipês; Americana/SP;-22.731919;-47.2641834,17
13475-700; Rua Joraime Giordano; Bosque dos Ipês; Americana/SP;-22.7306243;-47.2688375,15
13475-711; Rua Quatro; Bosque dos Ipês; Americana/SP;-22.7313825;-47.2607601,17
13475-713; Rua Três; Bosque dos Ipês; Americana/SP;-22.7299198;-47.2778689,15
13466-189; Praça Melvin Jones; Brieds; Americana/SP;-22.7507949;-47.33244,15
13466-230; Rua Caiapós; Brieds; Americana/SP;-22.75496;-47.3259928,17
13466-180; Rua Carajás; Brieds; Americana/SP;-22.75496;
13466-190; Rua Duque de Caxias; Brieds; Americana/SP;-22.7574325;-47.3283064,17
13466-182; Rua Goitacazes; Brieds; Americana/SP;-22.758022;-47.3251815,17
13466-200; Rua Guaianazes; Brieds; Americana/SP;-22.7564766;-47.3258451,18
13466-184; Rua Tabajaras; Brieds; Americana/SP;-22.7579276;-47.3254696,18
13466-181; Rua Tapajós; Brieds; Americana/SP;-22.7578395;-47.3231835,18
13466-183; Rua Tapuias; Brieds; Americana/SP;-22.7581875;-47.324564,18
13466-210; Rua Timbiras; Brieds; Americana/SP;-22.7565934;-47.3293779,17
13466-220; Rua Tupiniquins; Brieds; Americana/SP;-22.75459;-47.325989,18
13466-185; Rua Turunas; Brieds; Americana/SP;-22.758017;-47.3259715,18
13477-010; Avenida Antônio Pinto Duarte; Campo Limpo; Americana/SP;-22.7292642;-47.3155235,15
13477-029; Praça Doutor João de Castro Gonçalves; Campo Limpo; Americana/SP;-22.7292642;
13477-070; Rua Abelardo Fonseca; Campo Limpo; Americana/SP;-22.7343935;-47.3085404,17
13477-022; Rua Alarico Santa Rosa; Campo Limpo; Americana/SP;-22.7444435;-47.3039186,15
13477-090; Rua Antônio Nunes; Campo Limpo; Americana/SP;-22.735032;-47.3098561,17
13477-080; Rua Antônio Ortolano; Campo Limpo; Americana/SP;-22.7348314;-47.3091752,17
