CEP;Rua;Bairro;Cidade;Latitude;Longitude
13475-304; Rua Célio Arruda; Loteamento Residencial Jardim Villagio II; Americana/SP;-22.7255419;-47.287989,18
13475-300; Rua Professora Cacilda Meirelles Buzzolini; Loteamento Residencial Jardim Villagio II; Americana/SP;-22.7267626;-47.2870876,17
13475-296; Rua Professora Célia Glaiser Silveira; Loteamento Residencial Jardim Villagio II; Americana/SP;-22.7249826;-47.2882844,18
13475-298; Rua Professora Edwiges Tommasi; Loteamento Residencial Jardim Villagio II; Americana/SP;-22.7254117;-47.2912055,17
13475-302; Rua Professora Esmeralda Dias de Carvalho Matarazzo; Loteamento Residencial Jardim Villagio II; Americana/SP;-22.7262526;-47.287907,18
13475-306; Rua Professora Isa Pires Eustachio Kfoury; Loteamento Residencial Jardim Villagio II; Americana/SP;-22.7262526;
13475-292; Rua Professora Mafalda Maria Meirelles Dextro; Loteamento Residencial Jardim Villagio II; Americana/SP;-22.7260939;-47.2869825,17
13475-290; Rua Professora Maria do Carmo Augusti; Loteamento Residencial Jardim Villagio II; Americana/SP;-22.7251628;-47.2861994,17
13475-294; Rua Professora Wanda Meirelles Jacobucci; Loteamento Residencial Jardim Villagio II; Americana/SP;-22.7257784;-47.2875827,17
13476-700; Rua Acre; Monte Carlo; Americana/SP;-22.7358367;-47.2406251,17
13476-713; Rua Albano Ferreira Jorge; Monte Carlo; Americana/SP;-22.7362246;-47.2359364,17
13476-697; Rua Amapá; Monte Carlo; Americana/SP;-22.7373985;-47.2400199,17
13476-710; Rua Amazonas; Monte Carlo; Americana/SP;-22.7351378;-47.2406148,17
13476-695; Rua Geraldo Mazzoco; Monte Carlo; Americana/SP;-22.7381669;-47.241064,17
13476-711; Rua Goiás; Monte Carlo; Americana/SP;-22.7359808;-47.2390856,17
13476-690; Rua Henrique Basseto; Monte Carlo; Americana/SP;-22.7409891;-47.2420226,17
13476-692; Rua Hugo Rondelli; Monte Carlo; Americana/SP;-22.7397367;-47.2424458,17
13476-694; Rua José Cometti; Monte Carlo; Americana/SP;-22.7389361;-47.2405479,18
13476-693; Rua José Denadai; Monte Carlo; Americana/SP;-22.739412;-47.2410255,18
13476-691; Rua José Gonçalves; Monte Carlo; Americana/SP;-22.740348;-47.2417939,18
13476-696; Rua Mário Barbosa; Monte Carlo; Americana/SP;-22.7373347;-47.2399376,18
13476-720; Rua Pará; Monte Carlo; Americana/SP;-22.7347607;-47.2396913,17
13476-712; Rua Piauí; Monte Carlo; Americana/SP;-22.7365297;-47.2368859,18
13476-698; Rua Santa Catarina; Monte Carlo; Americana/SP;-22.7369322;-47.2387169,18
13470-280; Avenida Luigi Merchiori; Morada do Sol; Americana/SP;-22.714332;-47.3524068,17
13470-310; Avenida São Jerônimo; Morada do Sol; Americana/SP;-22.7232421;-47.3494231,15
13470-260; Rua Ângelo Marton; Morada do Sol; Americana/SP;-22.7173709;-47.3517975,17
13470-292; Rua Antônio da Silva Pequeno; Morada do Sol; Americana/SP;-22.7148939;-47.3514298,17
13470-271; Rua Antônio das Neves Grillo; Morada do Sol; Americana/SP;-22.7171282;-47.352977,18
13470-231; Rua Augusto Zazeri; Morada do Sol; Americana/SP;-22.7195494;-47.352591,17
13470-220; Rua Aurélio Cibim; Morada do Sol; Americana/SP;-22.7205598;-47.3519721,17
13470-250; Rua Camilo Damiani; Morada do Sol; Americana/SP;-22.7180505;-47.3519358,17
13470-255; Rua China; Morada do Sol; Americana/SP;-22.725656;-47.3487939,17
13470-290; Rua Domingos Denucci; Morada do Sol; Americana/SP;-22.7159258;-47.3524293,17
13470-200; Rua Doutor Pedro Pioli; Morada do Sol; Americana/SP;-22.7217064;-47.351762,17
13470-230; Rua Emílio de Camargo; Morada do Sol; Americana/SP;-22.7201272;-47.3511419,18
13470-253; Rua Florindo Cibin; Morada do Sol; Americana/SP;-22.7487205;-47.338071,17
13470-240; Rua Frederico Penachioni; Morada do Sol; Americana/SP;-22.7185939;-47.3517044,17
13470-300; Rua Japão; Morada do Sol; Americana/SP;-22.7189227;-47.3519461,16
13470-293; Rua José Dellagneze; Morada do Sol; Americana/SP;-22.7155245;-47.3512061,17
13470-291; Rua Maria Camuri da Rocha; Morada do Sol; Americana/SP;-22.7157251;-47.3518177,17
13470-241; Rua Maximiliano Trevisan; Morada do Sol; Americana/SP;-22.719228;-47.3508844,17
13470-210; Rua Nacim Elias; Morada do Sol; Americana/SP;-22.7211084;-47.3518484,17
13470-270; Rua Pedro Pinese; Morada do Sol; Americana/SP;-22.7169745;-47.3523944,17
13470-301; Rua Pedro Scalco; Morada do Sol; Americana/SP;-22.7139228;-47.3499828,17
13470-302; Rua Pedro Sgobin; Morada do Sol; Americana/SP;-22.7183226;-47.3487595,17
13470-242; Rua Vera Lúcia de Lucena Faustino da Cruz; Morada do Sol; Americana/SP;-22.719013;-47.3502959,17
13478-320; Rua Acre; Nossa Senhora de Fátima; Americana/SP;-22.739079;-47.3144547,18
13478-330; Rua Monte Verde; Nossa Senhora de Fátima; Americana/SP;-22.7406777;-47.3145197,17
13478-341; Rua Ouro Preto; Nossa Senhora de Fátima; Americana/SP;-22.7420593;-47.315411,17
13478-340; Rua Vila Velha; Nossa Senhora de Fátima; Americana/SP;-22.7419344;-47.3128618,18
13466-090; Avenida Prefeito Abdo Najar; Nova Americana; Americana/SP;-22.753245;-47.334521,15
13466-139; Praça Virgínia Mietto Fae; Nova Americana; Americana/SP;-22.753245;
13466-160; Rua Aimorés; Nova Americana; Americana/SP;-22.7574466;-47.3236346,17
13466-060; Rua Anhanguera; Nova Americana; Americana/SP;-22.7496424;-47.3331553,15
13466-150; Rua Caetés; Nova Americana; Americana/SP;-22.7565554;-47.3247556,17
13466-170; Rua Carijós; Nova Americana; Americana/SP;-22.7586289;-47.323484,18
13466-120; Rua Chavantes; Nova Americana; Americana/SP;-22.7532195;-47.3249052,17
13466-100; Rua Guaicurus; Nova Americana; Americana/SP;-22.750802;-47.3239945,18
13466-140; Rua Guaranis; Nova Americana; Americana/SP;-22.7550931;-47.3230776,17
13466-050; Rua Paul Harris; Nova Americana; Americana/SP;-22.7533089;-47.326119,16
13466-080; Rua Silvino Bonassi; Nova Americana; Americana/SP;-22.7531957;-47.3248736,16
13466-110; Rua Tupinambás; Nova Americana; Americana/SP;-22.7518561;-47.3226845,18
13466-130; Rua Tupis; Nova Americana; Americana/SP;-22.7539015;-47.321881,18
13466-070; Rua Vicente Saciloto; Nova Americana; Americana/SP;-22.7539995;-47.3217544,17
13465-720; Rua Dom Barreto; Paraíso; Americana/SP;-22.7440417;-47.3467043,16
13465-700; Rua Florindo Cibin; Paraíso; Americana/SP;-22.750419;-47.336424,17
13465-710; Rua Manoel dos Santos Azanha; Paraíso; Americana/SP;-22.7451561;-47.3411028,17
13465-711; Rua Panamá; Paraíso; Americana/SP;-22.7471205;-47.3414206,17
13465-712; Rua Particular; Paraíso; Americana/SP;-22.7471205;
13470-040; Avenida Estados Unidos; Parque das Nações; Americana/SP;-22.7251932;-47.3568552,16
13470-000; Avenida Europa; Parque das Nações; Americana/SP;-22.7278473;-47.3499947,15
13470-062; Rua Angola; Parque das Nações; Americana/SP;-22.729567;-47.3518044,17
13470-011; Rua Argélia; Parque das Nações; Americana/SP;-22.7445396;-47.3554878,17
13470-150; Rua Austrália; Parque das Nações; Americana/SP;-22.7237263;-47.3505946,17
13470-180; Rua Canadá; Parque das Nações; Americana/SP;-22.7221785;-47.3512239,17
13470-030; Rua Costa do Marfim; Parque das Nações; Americana/SP;-22.730488;-47.353496,17
13470-140; Rua Etiópia; Parque das Nações; Americana/SP;-22.7236655;-47.3484704,17
13470-160; Rua Filipinas; Parque das Nações; Americana/SP;-22.7234025;-47.351146,17
13470-070; Rua Florindo Cibin; Parque das Nações; Americana/SP;-22.7283269;-47.3525578,16
13470-110; Rua Índia; Parque das Nações; Americana/SP;-22.7256243;-47.3531851,16
13470-080; Rua Islândia; Parque das Nações; Americana/SP;-22.7280671;-47.3517834,17
13470-061; Rua Jamaica; Parque das Nações; Americana/SP;-22.7287984;-47.3521574,17
13470-060; Rua Malásia; Parque das Nações; Americana/SP;-22.729688;-47.3525109,17
13470-130; Rua Moçambique; Parque das Nações; Americana/SP;-22.7257298;-47.3517537,18
13470-010; Rua Nigéria; Parque das Nações; Americana/SP;-22.7312271;-47.353739,17
13470-090; Rua Nova Zelândia; Parque das Nações; Americana/SP;-22.726614;-47.349692,17
13470-100; Rua Porto Rico; Parque das Nações; Americana/SP;-22.7265189;-47.3510373,17
13470-050; Rua Senegal; Parque das Nações; Americana/SP;-22.7301883;-47.3529724,17
13470-020; Rua Singapura; Parque das Nações; Americana/SP;-22.7306985;-47.3540999,17
13470-120; Rua Tailândia; Parque das Nações; Americana/SP;-22.7250235;-47.3504504,17
13470-064; Rua Tanzânia; Parque das Nações; Americana/SP;-22.7286729;-47.3508139,17
13470-170; Rua Tunísia; Parque das Nações; Americana/SP;-22.722859;-47.3513779,17
13470-063; Rua Zaire; Parque das Nações; Americana/SP;-22.7289295;-47.3512061,17
13476-630; Avenida Doutor José Barreto Pinto; Parque Dom Pedro II; Americana/SP;-22.7455379;-47.2423873,17
13476-641; Rua Albano Mariscalchi; Parque Dom Pedro II; Americana/SP;-22.7459683;-47.2406735,17
13476-623; Rua Antônio de Campos Machado; Parque Dom Pedro II; Americana/SP;-22.7477981;-47.2543926,15
13476-631; Rua Antônio Mancini; Parque Dom Pedro II; Americana/SP;-22.7481337;-47.2429894,18
13476-632; Rua Antônio Menegatti; Parque Dom Pedro II; Americana/SP;-22.7475342;-47.2442769,17
13476-619; Rua Antônio Pazzin; Parque Dom Pedro II; Americana/SP;-22.7475342;
13476-640; Rua Antônio Salvador; Parque Dom Pedro II; Americana/SP;-22.7456994;-47.2398614,17
13476-634; Rua Benedito Toledo Ferraz; Parque Dom Pedro II; Americana/SP;-22.74761;-47.2414129,18
13476-642; Rua Bernardo Jurgensen; Parque Dom Pedro II; Americana/SP;-22.7455302;-47.2418354,17
13476-622; Rua Félicio Zamperlin; Parque Dom Pedro II; Americana/SP;-22.7456023;-47.2416933,18
13476-610; Rua Gabriel Gabor Radics; Parque Dom Pedro II; Americana/SP;-22.744461;-47.2443594,17
13476-620; Rua João Gotardi; Parque Dom Pedro II; Americana/SP;-22.7449715;-47.2429974,17
13476-643; Rua João Ranieri; Parque Dom Pedro II; Americana/SP;-22.7447252;-47.239394,17
13476-633; Rua Joaquim Azanha; Parque Dom Pedro II; Americana/SP;-22.7483385;-47.2426249,17
13476-644; Rua José Bueno de Camargo; Parque Dom Pedro II; Americana/SP;-22.7429047;-47.2376076,17
13476-611; Rua Juvenal de Souza Pinto; Parque Dom Pedro II; Americana/SP;-22.7439804;-47.24194,18
13476-621; Rua Martim Mário Piva; Parque Dom Pedro II; Americana/SP;-22.7456655;-47.2422714,17
13476-635; Rua Pedro Riedo; Parque Dom Pedro II; Americana/SP;-22.7471509;-47.2412397,17
13476-624; Rua Sebastião Gallo; Parque Dom Pedro II; Americana/SP;-22.7473249;-47.2427474,17
13476-625; Travessa do Imperador; Parque Dom Pedro II; Americana/SP;-22.7447338;-47.2430561,17
13469-589; Praça Alziro Zarur; Parque Gramado; Americana/SP;-22.7122428;-47.364966,17
13469-570; Rua Alfredo Spinola de Mello; Parque Gramado; Americana/SP;-22.721637;-47.3631505,18
13469-571; Rua Antônio Horschutz Sobrinho; Parque Gramado; Americana/SP;-22.720923;-47.3639573,17
13469-600; Rua Armando Alves; Parque Gramado; Americana/SP;-22.7215315;-47.3610284,17
13469-560; Rua Ary Dell Agnese; Parque Gramado; Americana/SP;-22.722341;-47.3646643,17
13469-620; Rua Benedito das Chagas; Parque Gramado; Americana/SP;-22.7226222;-47.3609345,17
13469-576; Rua Carolina Calligaris Cibim; Parque Gramado; Americana/SP;-22.7200305;-47.3614993,17
13469-575; Rua Florindo Boschero; Parque Gramado; Americana/SP;-22.7215659;-47.3618043,17
13469-591; Rua Francisco Milani; Parque Gramado; Americana/SP;-22.7196588;-47.3590494,18
13469-573; Rua João Belotti; Parque Gramado; Americana/SP;-22.7216211;-47.3624979,17
13469-592; Rua João Martim Milena; Parque Gramado; Americana/SP;-22.7192386;-47.359747,17
13469-574; Rua José Bertie; Parque Gramado; Americana/SP;-22.7238016;-47.3617339,17
13469-630; Rua José Pádulla; Parque Gramado; Americana/SP;-22.7225398;-47.3640524,17
13469-593; Rua Lídia Halabi; Parque Gramado; Americana/SP;-22.7206627;-47.358895,17
13469-590; Rua Luiz Urbano; Parque Gramado; Americana/SP;-22.7201934;-47.3632764,17
13469-572; Rua Natalino Estevam; Parque Gramado; Americana/SP;-22.7208219;-47.3632909,17
13469-610; Rua Regina Ceotto Santarosa; Parque Gramado; Americana/SP;-22.7216395;-47.357731,18
13469-561; Rua Rosa Crescimani Reami; Parque Gramado; Americana/SP;-22.719678;-47.3653449,17
13469-577; Rua Segundo Mori; Parque Gramado; Americana/SP;-22.7204042;-47.3608977,17
13469-580; Rua Thomaz Biancardi; Parque Gramado; Americana/SP;-22.7189765;-47.3652924,17
13465-159; Avenida Brasil; Parque Ideal; Americana/SP;-22.7189765;
13470-400; Avenida Serra da Mantiqueira; Parque Liberdade; Americana/SP;-22.7161823;-47.3601729,17
13470-410; Avenida Serra do Mar; Parque Liberdade; Americana/SP;-22.7138869;-47.357168,17
13470-401; Avenida Serra Dourada; Parque Liberdade; Americana/SP;-22.7167895;-47.3599515,17
13470-439; Praça Pico da Bandeira; Parque Liberdade; Americana/SP;-22.7167895;
13470-437; Rua Florindo Cibin; Parque Liberdade; Americana/SP;-22.7315353;-47.3659746,14
13470-430; Rua Serra Cajazeiras; Parque Liberdade; Americana/SP;-22.7113159;-47.3575064,18
13470-424; Rua Serra da Bocaina; Parque Liberdade; Americana/SP;-22.7139319;-47.3578706,18
13470-416; Rua Serra da Borborema; Parque Liberdade; Americana/SP;-22.7144073;-47.3601805,17
13470-434; Rua Serra da Canastra; Parque Liberdade; Americana/SP;-22.7112678;-47.3568783,17
13470-405; Rua Serra da Ibiapaba; Parque Liberdade; Americana/SP;-22.7183084;-47.3607899,17
13470-411; Rua Serra da Mangabeira; Parque Liberdade; Americana/SP;-22.715707;-47.3600579,17
13470-412; Rua Serra da Saudade; Parque Liberdade; Americana/SP;-22.8176824;-47.3579959,11
13470-413; Rua Serra das Araras; Parque Liberdade; Americana/SP;-22.7148909;-47.3601,17
13470-443; Rua Serra das Palmeiras; Parque Liberdade; Americana/SP;-22.7135971;-47.358987,17
13470-441; Rua Serra de Maracaju; Parque Liberdade; Americana/SP;-22.7103305;-47.3578708,18
13470-440; Rua Serra do Acaraí; Parque Liberdade; Americana/SP;-22.7097166;-47.3575688,18
13470-442; Rua Serra do Caparão; Parque Liberdade; Americana/SP;-22.7106981;-47.3578263,18
13470-428; Rua Serra do Espigão Mestre; Parque Liberdade; Americana/SP;-22.7118691;-47.3575214,18
13470-415; Rua Serra do Espinhaço; Parque Liberdade; Americana/SP;-22.7158778;-47.3704343,15
13470-450; Rua Serra do Japi; Parque Liberdade; Americana/SP;-22.7128833;-47.3640377,16
13470-421; Rua Serra do Pacaraima; Parque Liberdade; Americana/SP;-22.713813;-47.3609024,17
13470-427; Rua Serra do Paranapiacaba; Parque Liberdade; Americana/SP;-22.7123201;-47.3576225,18
13470-420; Rua Serra do Parima; Parque Liberdade; Americana/SP;-22.714076;-47.3614474,17
13470-404; Rua Serra do Tambor; Parque Liberdade; Americana/SP;-22.717741;-47.3608774,17
13470-426; Rua Serra do Tumucumaque; Parque Liberdade; Americana/SP;-22.7126814;-47.3578683,18
13470-403; Rua Serra dos Apiacas; Parque Liberdade; Americana/SP;-22.717309;-47.3610224,17
13470-414; Rua Serra dos Caipós; Parque Liberdade; Americana/SP;-22.7153855;-47.362194,17
13470-436; Rua Serra dos Cariris; Parque Liberdade; Americana/SP;-22.7102133;-47.3566522,18
13470-435; Rua Serra Estrela do Norte; Parque Liberdade; Americana/SP;-22.7104744;-47.3558898,18
13470-423; Rua Serra Formosa; Parque Liberdade; Americana/SP;-22.7134216;-47.3583451,18
13470-425; Rua Serra Geral; Parque Liberdade; Americana/SP;-22.7130736;-47.3581303,18
13470-422; Rua Serra Ouricuri; Parque Liberdade; Americana/SP;-22.7134421;-47.3606797,17
13475-470; Avenida José Ferreira Coelho; Parque Mangueira; Americana/SP;-22.7051324;-47.2736875,17
13475-471; Rua José Taceli; Parque Mangueira; Americana/SP;-22.7036218;-47.2716858,18
13475-472; Rua Ramiro Neves; Parque Mangueira; Americana/SP;-22.7044194;-47.2704644,18
13473-758; Avenida Attilio Dextro; Parque Nova Carioba; Americana/SP;-22.714506;-47.3212269,17
13473-710; Avenida da Música; Parque Nova Carioba; Americana/SP;-22.7148849;-47.3297935,15
13473-762; Avenida Lírio Correa; Parque Nova Carioba; Americana/SP;-22.7165137;-47.3330796,15
13473-735; Avenida Santa Cecília; Parque Nova Carioba; Americana/SP;-22.7120809;-47.3164837,16
13473-744; Rua Américo Brunelli; Parque Nova Carioba; Americana/SP;-22.7098892;-47.3199563,18
13473-746; Rua Anna Canciani Giordano; Parque Nova Carioba; Americana/SP;-22.711209;-47.3179426,18
13473-827; Rua Anselmo Formentini; Parque Nova Carioba; Americana/SP;-22.7184019;-47.3225715,18
13473-783; Rua Antônio Carossi; Parque Nova Carioba; Americana/SP;-22.7159235;-47.3188799,17
13473-729; Rua Antônio Giordano; Parque Nova Carioba; Americana/SP;-22.7122021;-47.316817,18
13473-801; Rua Antônio Justi; Parque Nova Carioba; Americana/SP;-22.7166922;-47.3217901,18
13473-774; Rua Antônio Politano; Parque Nova Carioba; Americana/SP;-22.716197;-47.3212795,17
13473-814; Rua Antônio Sarra; Parque Nova Carioba; Americana/SP;-22.7156575;-47.3232789,17
13473-780; Rua Augusto Marques Penteado; Parque Nova Carioba; Americana/SP;-22.716291;-47.3201054,17
13473-754; Rua Carlos Sturari; Parque Nova Carioba; Americana/SP;-22.7112185;-47.3218749,17
13473-771; Rua Celestina Scarazzato Giordano; Parque Nova Carioba; Americana/SP;-22.7161044;-47.3219149,17
13473-786; Rua Edgard da Silva Calheiros; Parque Nova Carioba; Americana/SP;-22.7156319;-47.3183859,17
13473-795; Rua Elizeth Cardoso; Parque Nova Carioba; Americana/SP;-22.7162355;-47.3136754,17
13473-723; Rua Fioravante Codognoto; Parque Nova Carioba; Americana/SP;-22.7113584;-47.3189715,17
13473-825; Rua Fortunato Varolo; Parque Nova Carioba; Americana/SP;-22.7178253;-47.3239003,17
13473-717; Rua Francisco Leandro; Parque Nova Carioba; Americana/SP;-22.710808;-47.3199364,17
13473-748; Rua Getúlio Ferrez Lopes; Parque Nova Carioba; Americana/SP;-22.7101658;-47.3216281,17
13473-732; Rua Iafet Campari; Parque Nova Carioba; Americana/SP;-22.7126643;-47.3164024,18
13473-750; Rua Inezita Barroso; Parque Nova Carioba; Americana/SP;-22.7130348;-47.3245998,15
13473-807; Rua João Fogo; Parque Nova Carioba; Americana/SP;-22.7150906;-47.3211788,18
13473-820; Rua Joaquim Américo de Oliveira; Parque Nova Carioba; Americana/SP;-22.7168752;-47.322947,17
13473-777; Rua José Chiquinho; Parque Nova Carioba; Americana/SP;-22.7162614;-47.3193915,18
13473-756; Rua José Nicoletti; Parque Nova Carioba; Americana/SP;-22.7118922;-47.3224015,18
13473-720; Rua Luiz Antônio Bertaglia; Parque Nova Carioba; Americana/SP;-22.7111606;-47.3195585,17
13473-714; Rua Luiz Corazza; Parque Nova Carioba; Americana/SP;-22.7104954;-47.3205508,17
13473-738; Rua Manoel Moreno Mostaço; Parque Nova Carioba; Americana/SP;-22.7087515;-47.3204894,17
13473-726; Rua Marcelo Galassi; Parque Nova Carioba; Americana/SP;-22.7116465;-47.3184379,17
13473-829; Rua Moacyr Neves Grillo; Parque Nova Carioba; Americana/SP;-22.7190923;-47.3224015,18
13473-790; Rua Nara Leão; Parque Nova Carioba; Americana/SP;-22.7166314;-47.3190825,17
13473-792; Rua Orestes Rando; Parque Nova Carioba; Americana/SP;-22.7149479;-47.3174946,17
13473-741; Rua Oscar Mendes; Parque Nova Carioba; Americana/SP;-22.7092079;-47.3208515,17
13473-817; Rua Paracelso Fonseca; Parque Nova Carioba; Americana/SP;-22.7162165;-47.3233079,17
13473-768; Rua Paschoal Travaglia; Parque Nova Carioba; Americana/SP;-22.7159896;-47.3220566,18
13473-789; Rua Romeu Benazzi; Parque Nova Carioba; Americana/SP;-22.7152055;-47.31798,17
13473-752; Rua Sebastião Otero; Parque Nova Carioba; Americana/SP;-22.710676;-47.3217145,17
13473-765; Rua Vito Baldin; Parque Nova Carioba; Americana/SP;-22.7182879;-47.3250749,17
13473-823; Rua Walter Garbo; Parque Nova Carioba; Americana/SP;-22.7173744;-47.323358,17
13467-610; Avenida Campos de Jordão; Parque Novo Mundo; Americana/SP;-22.7749146;-47.3468393,17
13467-600; Avenida de Cillo; Parque Novo Mundo; Americana/SP;-22.7697322;-47.3567227,15
13467-469; Praça Manoel Rodrigues Nogueira; Parque Novo Mundo; Americana/SP;-22.7697322;
13467-800; Rodovia Luiz de Queiroz; Parque Novo Mundo; Americana/SP;-22.7570599;-47.3159374,16
13467-471; Rua Amparo; Parque Novo Mundo; Americana/SP;-22.7731343;-47.3450256,18
13467-620; Rua Andradina; Parque Novo Mundo; Americana/SP;-22.7743135;-47.3484515,18
13467-641; Rua Assis; Parque Novo Mundo; Americana/SP;-22.7794555;-47.3515469,17
13467-560; Rua Avaré; Parque Novo Mundo; Americana/SP;-22.7742864;-47.3512329,16
13467-632; Rua Barretos; Parque Novo Mundo; Americana/SP;-22.7771154;-47.3509919,18
13467-625; Rua Bauru; Parque Novo Mundo; Americana/SP;-22.776972;-47.3492769,17
13467-570; Rua Bertioga; Parque Novo Mundo; Americana/SP;-22.7731678;-47.351216,16
13467-450; Rua Campinas; Parque Novo Mundo; Americana/SP;-22.7716713;-47.3427897,17
13467-622; Rua Cosmópolis; Parque Novo Mundo; Americana/SP;-22.7769025;-47.3464004,17
13467-590; Rua das Açucenas; Parque Novo Mundo; Americana/SP;-22.7645218;-47.3460458,16
13467-550; Rua Diadema; Parque Novo Mundo; Americana/SP;-22.77494;-47.3509029,16
13467-540; Rua Guarujá; Parque Novo Mundo; Americana/SP;-22.7747079;-47.3489664,16
13467-630; Rua Guarulhos; Parque Novo Mundo; Americana/SP;-22.7771528;-47.3501669,17
13467-530; Rua Ibitinga; Parque Novo Mundo; Americana/SP;-22.7753713;-47.3460025,16
13467-480; Rua Indaiatuba; Parque Novo Mundo; Americana/SP;-22.7755365;-47.342639,18
13467-514; Rua Itapetininga; Parque Novo Mundo; Americana/SP;-22.7747814;-47.3461939,16
13467-611; Rua Itú; Parque Novo Mundo; Americana/SP;-22.7751795;-47.3476669,17
13467-621; Rua Jacareí; Parque Novo Mundo; Americana/SP;-22.7763396;-47.347472,18
13467-473; Rua Jales; Parque Novo Mundo; Americana/SP;-22.7740549;-47.3466529,17
13467-520; Rua Jundiaí; Parque Novo Mundo; Americana/SP;-22.7759203;-47.3481768,16
13467-640; Rua Lindóia; Parque Novo Mundo; Americana/SP;-22.7789463;-47.3520574,17
13467-624; Rua Lins; Parque Novo Mundo; Americana/SP;-22.778577;-47.3473174,17
13467-470; Rua Lorena; Parque Novo Mundo; Americana/SP;-22.7714005;-47.3459576,18
13467-472; Rua Mirassol; Parque Novo Mundo; Americana/SP;-22.772202;-47.3467617,18
13467-512; Rua Osasco; Parque Novo Mundo; Americana/SP;-22.7741349;-47.3412171,17
13467-626; Rua Ourinhos; Parque Novo Mundo; Americana/SP;-22.7752651;-47.3506566,17
13467-511; Rua Paulínia; Parque Novo Mundo; Americana/SP;-22.7740224;-47.3401696,17
13467-631; Rua Peruíbe; Parque Novo Mundo; Americana/SP;-22.7780029;-47.35021,17
13467-510; Rua Pinhal; Parque Novo Mundo; Americana/SP;-22.7728125;-47.3368389,18
13467-513; Rua Pirassununga; Parque Novo Mundo; Americana/SP;-22.7736281;-47.3417118,17
13467-633; Rua Porto Feliz; Parque Novo Mundo; Americana/SP;-22.7787468;-47.3499186,18
13467-490; Rua Rio Claro; Parque Novo Mundo; Americana/SP;-22.773284;-47.336188,18
13467-634; Rua Rio das Pedras; Parque Novo Mundo; Americana/SP;-22.7794375;-47.3492779,17
13467-549; Rua Romano Pavan; Parque Novo Mundo; Americana/SP;-22.7794375;
13467-460; Rua Santos; Parque Novo Mundo; Americana/SP;-22.7721319;-47.3464418,16
13467-500; Rua Sorocaba; Parque Novo Mundo; Americana/SP;-22.7743986;-47.3420396,18
13467-623; Rua Taubaté; Parque Novo Mundo; Americana/SP;-22.7777144;-47.3474144,17
13467-461; Rua Valinhos; Parque Novo Mundo; Americana/SP;-22.7719339;-47.3438024,18
13474-012; Rua Alcides Lázaro; Parque Primavera; Americana/SP;-22.7249336;-47.2940434,17
13474-013; Rua Projetada; Parque Primavera; Americana/SP;-23.404015;-46.4975619,17
13474-011; Rua Três; Parque Primavera; Americana/SP;-22.7295794;-47.2785215,15
13474-010; Rua Um; Parque Primavera; Americana/SP;-22.7238201;-47.3031764,15
13473-650; Avenida da Música; Parque Residencial Jaguari; Americana/SP;-22.7138906;-47.3250412,16
13473-660; Avenida do Compositor; Parque Residencial Jaguari; Americana/SP;-22.7202065;-47.3206318,16
13473-670; Avenida Santa Cecília; Parque Residencial Jaguari; Americana/SP;-22.7100852;-47.317576,17
13473-653; Rua Adelino Moreira; Parque Residencial Jaguari; Americana/SP;-22.7178069;-47.316539,17
13473-675; Rua Adoniran Barbosa; Parque Residencial Jaguari; Americana/SP;-22.7268762;-47.3204109,15
13473-691; Rua Alberto Ribeiro; Parque Residencial Jaguari; Americana/SP;-22.7192856;-47.3187985,17
13473-652; Rua Altamiro Carrilho; Parque Residencial Jaguari; Americana/SP;-22.7189279;-47.319636,16
13473-701; Rua Angela Maria; Parque Residencial Jaguari; Americana/SP;-22.7190898;-47.321855,17
13473-693; Rua Assis Valante; Parque Residencial Jaguari; Americana/SP;-22.7209735;-47.3134425,17
13473-676; Rua Ataulfo Alves; Parque Residencial Jaguari; Americana/SP;-22.717303;-47.3118719,17
13473-683; Rua Benedito Lacerda; Parque Residencial Jaguari; Americana/SP;-22.7184872;-47.3206324,17
13473-658; Rua Cândido das Neves; Parque Residencial Jaguari; Americana/SP;-22.7185852;-47.314556,17
13473-680; Rua Cartola; Parque Residencial Jaguari; Americana/SP;-22.7186881;-47.3206324,17
13473-685; Rua Custódio Mesquita; Parque Residencial Jaguari; Americana/SP;-22.7177579;-47.3190063,17
13473-673; Rua Dalva de Oliveira; Parque Residencial Jaguari; Americana/SP;-22.716316;-47.3134305,17
13473-665; Rua David Nasser; Parque Residencial Jaguari; Americana/SP;-22.7145549;-47.3156169,17
13473-661; Rua Dolores Duran; Parque Residencial Jaguari; Americana/SP;-22.712962;-47.3157585,18
13473-696; Rua Elizeth Cardoso; Parque Residencial Jaguari; Americana/SP;-22.714203;-47.316782,18
13473-668; Rua Evaldo Gouveia; Parque Residencial Jaguari; Americana/SP;-22.714223;-47.3135549,17
13473-666; Rua Heitor dos Prazeres; Parque Residencial Jaguari; Americana/SP;-22.7134989;-47.3145504,17
13473-664; Rua Herivelto Martins; Parque Residencial Jaguari; Americana/SP;-22.7131484;-47.3150584,17
13473-681; Rua Herve Cordovil; Parque Residencial Jaguari; Americana/SP;-22.7194289;-47.3195703,18
13473-662; Rua Humberto Teixeira; Parque Residencial Jaguari; Americana/SP;-22.7126269;-47.3161799,17
13473-702; Rua Inezita Barroso; Parque Residencial Jaguari; Americana/SP;-22.7141645;-47.313688,18
13473-698; Rua Jacó do Bandolin; Parque Residencial Jaguari; Americana/SP;-22.7150454;-47.313336,18
